x,y,z,intensity,t,reflectivity,ring,ambient,range
18.082832,5.6803303,18.405336,19.0,22025504,12,1,1696,26401
-13.713316,3.8264651,13.480715,24.0,2590064,9,2,1370,19588
12.902388,5.686352,13.350831,20.0,22125744,7,2,1271,19399
13.872091,5.612197,14.168616,17.0,22366064,8,2,1501,20589
13.948794,5.543882,14.21191,11.0,22414744,6,2,1303,20652
14.042098,5.4814425,14.272386,14.0,22463664,7,2,1290,20740
-14.474729,2.840898,13.170824,10.0,50880,2,4,721,19757
19.894228,5.822118,18.502449,19.0,21246632,11,4,1954,27767
-16.856543,3.6333117,13.885939,28.0,244200,9,8,1268,22122
-22.178192,3.24642,17.661722,25.0,635120,16,9,1876,28519
17.279833,5.745539,14.351886,14.0,21930664,6,9,1329,23168
16.182604,3.5626814,13.060981,18.0,22755704,6,9,1014,21081
16.369267,1.4416616,12.952736,15.0,23785216,7,9,2521,20906
-18.20953,3.554851,13.832373,17.0,2833424,9,11,1231,23125
-17.718735,3.5721598,13.4764385,15.0,2880784,7,11,1340,22529
-17.510363,3.642149,13.334901,13.0,2929864,7,11,1530,22292
17.664625,5.665306,13.830581,21.0,23828856,12,11,2042,23122
16.36859,2.8997169,12.395497,11.0,24903448,5,11,985,20719
16.467505,2.8131604,12.457009,14.0,24953848,6,11,1036,20822
-18.951561,3.502007,13.96463,15.0,50880,6,12,1659,23783
-18.42365,3.5213706,13.591787,25.0,98280,8,12,1354,23147
18.827248,5.2375407,14.159844,20.0,21440872,6,12,626,24116
18.961966,5.8353167,14.061008,21.0,22125744,11,13,1741,24300
19.161533,5.132792,14.059276,15.0,22414744,7,13,895,24297
19.301384,4.9172072,14.116469,14.0,22516584,6,13,572,24396
-18.395435,3.5647109,12.926479,46.0,1907872,19,14,1745,22747
-16.813984,4.014433,11.926951,23.0,2246904,10,14,1766,20985
11.550205,6.4312096,9.125778,47.0,21342992,11,14,2744,16047
20.45595,5.9058022,14.685581,24.0,23148936,14,14,1380,25848
19.800545,5.1936364,14.120013,15.0,23344376,7,14,843,24851
-19.189651,2.505305,12.951249,11.0,2293904,6,15,868,23270
18.76181,6.050701,13.192367,16.0,23785216,10,15,2074,23704
19.424852,6.0025315,13.605156,18.0,23882816,10,15,1325,24447
-9.406051,1.3013635,5.8746943,26.0,1463592,3,18,911,11150
21.020658,6.1809864,13.527342,18.0,23098176,13,18,1980,25734
-21.655018,2.7836096,13.068403,12.0,2246904,7,19,984,25430
-19.470966,3.8529372,11.882482,31.0,2786344,15,19,1992,23118
21.586168,6.2836976,13.456187,19.0,23979176,15,19,2156,26186
21.786966,6.1974287,13.557237,38.0,24026616,24,19,2210,26383
20.060572,6.445453,12.236884,40.0,21200472,17,20,3365,24351
-23.44871,2.6781147,12.98208,20.0,1269592,11,22,824,26921
-24.848948,3.1473203,13.776217,15.0,1369072,12,22,1384,28571
-22.853275,3.323137,12.703411,28.0,1514672,16,22,1377,26342
-20.664265,3.7863467,11.558411,36.0,1810512,17,22,2188,23963
20.663649,6.6112666,11.935746,36.0,22907664,21,22,3009,24747
-24.24845,2.1395972,12.961735,15.0,1907872,10,23,1011,27564
-24.176842,2.282874,12.93076,9.0,1957272,8,23,1380,27498
-25.069748,3.1454997,13.4526415,25.0,2200864,19,23,1856,28610
-23.529037,3.2462018,12.647762,33.0,2293904,22,23,2090,26895
-9.419279,4.7688527,5.6352205,63.0,4934248,8,23,1350,11953
23.555378,6.31013,12.984732,31.0,24124016,26,23,3581,27613
25.054443,6.4767914,13.346772,19.0,21683904,14,24,2861,29103
-25.089333,3.0334494,12.674424,19.0,489800,14,25,2159,28258
-24.935411,3.1701872,12.606388,20.0,538920,13,25,1754,28106
-23.757027,3.4657826,12.041961,28.0,684360,17,25,2618,26845
-22.855997,3.6212666,11.607786,22.0,782232,13,25,2477,25875
